Optimal Path Found. Time elapsed is 12.544470 seconds. 
Node ID: 30227461 	 Lat: 41.379591  | Long: 2.167420  | Distance: 1408.045583 
 
Node ID: 30227460 	 Lat: 41.379567  | Long: 2.167253  | Distance: 1422.232448 
 
Node ID: 1400544019 	 Lat: 41.379547  | Long: 2.167061  | Distance: 1438.369449 
 
Node ID: 1400544018 	 Lat: 41.379516  | Long: 2.166725  | Distance: 1466.624508 
 
Node ID: 30884292 	 Lat: 41.379500  | Long: 2.166389  | Distance: 1494.724044 
 
Node ID: 30227456 	 Lat: 41.379495  | Long: 2.165920  | Distance: 1533.843259 
 
Node ID: 30227454 	 Lat: 41.379357  | Long: 2.165480  | Distance: 1573.625753 
 
Node ID: 30227453 	 Lat: 41.379225  | Long: 2.165095  | Distance: 1608.944437 
 
Node ID: 30227452 	 Lat: 41.379137  | Long: 2.164759  | Distance: 1638.621581 
 
Node ID: 30227451 	 Lat: 41.379031  | Long: 2.164305  | Distance: 1678.310547 
 
Node ID: 30227450 	 Lat: 41.378905  | Long: 2.163855  | Distance: 1718.381556 
 
Node ID: 30227449 	 Lat: 41.378763  | Long: 2.163403  | Distance: 1759.241657 
 
Node ID: 30227448 	 Lat: 41.378647  | Long: 2.163190  | Distance: 1781.186886 
 
Node ID: 1043786412 	 Lat: 41.378632  | Long: 2.163178  | Distance: 1783.125547 
 
Node ID: 30238199 	 Lat: 41.377774  | Long: 2.162079  | Distance: 1915.423703 
 
Node ID: 30238198 	 Lat: 41.376920  | Long: 2.160980  | Distance: 2047.506877 
 
Node ID: 30238197 	 Lat: 41.376009  | Long: 2.159860  | Distance: 2185.289301 
 
Node ID: 905811229 	 Lat: 41.375287  | Long: 2.158845  | Distance: 2302.041689 
 
Node ID: 905811222 	 Lat: 41.375286  | Long: 2.158557  | Distance: 2326.047659 
 
Node ID: 905811223 	 Lat: 41.375050  | Long: 2.158556  | Distance: 2352.267721 
 
Node ID: 905811221 	 Lat: 41.375033  | Long: 2.158556  | Distance: 2354.124677 
 
Node ID: 903233267 	 Lat: 41.375034  | Long: 2.156612  | Distance: 2516.324830 
 
Node ID: 30246866 	 Lat: 41.375034  | Long: 2.156300  | Distance: 2542.341605 
 
Node ID: 626135660 	 Lat: 41.375061  | Long: 2.154319  | Distance: 2707.624133 
 
Node ID: 30298842 	 Lat: 41.375034  | Long: 2.154014  | Distance: 2733.267500 
 
Node ID: 899314386 	 Lat: 41.375046  | Long: 2.152138  | Distance: 2889.849707 
 
Node ID: 899314388 	 Lat: 41.375071  | Long: 2.151769  | Distance: 2920.751919 
 
Node ID: 771231969 	 Lat: 41.375094  | Long: 2.150095  | Distance: 3060.462492 
 
Node ID: 26057048 	 Lat: 41.375084  | Long: 2.149692  | Distance: 3094.133914 
 
Node ID: 803435598 	 Lat: 41.374943  | Long: 2.149686  | Distance: 3109.763540 
 
Node ID: 1193548822 	 Lat: 41.374877  | Long: 2.149661  | Distance: 3117.442751 
 
Node ID: 71710025 	 Lat: 41.374813  | Long: 2.149620  | Distance: 3125.287128 
 
Node ID: 1193548807 	 Lat: 41.374756  | Long: 2.149567  | Distance: 3133.075936 
 
Node ID: 26057052 	 Lat: 41.374712  | Long: 2.149511  | Distance: 3139.795499 
 
Node ID: 534633415 	 Lat: 41.374682  | Long: 2.149461  | Distance: 3145.124187 
 
Node ID: 26057049 	 Lat: 41.374650  | Long: 2.149390  | Distance: 3152.065080 
 
Node ID: 803435595 	 Lat: 41.374613  | Long: 2.149254  | Distance: 3164.117409 
 
Node ID: 26057053 	 Lat: 41.374604  | Long: 2.149115  | Distance: 3175.786669 
 
Node ID: 168319807 	 Lat: 41.374616  | Long: 2.149000  | Distance: 3185.459739 
 
Node ID: 1193548729 	 Lat: 41.374689  | Long: 2.148797  | Distance: 3204.251004 
 
Node ID: 26057050 	 Lat: 41.374797  | Long: 2.148662  | Distance: 3220.713920 
 
Node ID: 771231898 	 Lat: 41.374679  | Long: 2.148473  | Distance: 3241.235313 
 
Node ID: 760332218 	 Lat: 41.374229  | Long: 2.147931  | Distance: 3308.740586 
 
Node ID: 178518958 	 Lat: 41.374131  | Long: 2.147796  | Distance: 3324.385256 
 
Node ID: 760332200 	 Lat: 41.372976  | Long: 2.146290  | Distance: 3504.128822 
 
Node ID: 760332216 	 Lat: 41.372882  | Long: 2.146165  | Distance: 3518.885363 
 
Node ID: 760332225 	 Lat: 41.371878  | Long: 2.144835  | Distance: 3676.337612 
 
Node ID: 760332206 	 Lat: 41.371761  | Long: 2.144680  | Distance: 3694.588302 
 
Node ID: 760332209 	 Lat: 41.371220  | Long: 2.143963  | Distance: 3779.453614 
 
Node ID: 760332213 	 Lat: 41.371104  | Long: 2.143810  | Distance: 3797.602133 
 
Node ID: 760332211 	 Lat: 41.370508  | Long: 2.143009  | Distance: 3891.717744 
 
Node ID: 760332217 	 Lat: 41.370195  | Long: 2.142592  | Distance: 3940.919488 
 
Node ID: 760332202 	 Lat: 41.370014  | Long: 2.142364  | Distance: 3968.671804 
 
Node ID: 760332222 	 Lat: 41.369714  | Long: 2.141967  | Distance: 4015.728687 
 
Node ID: 760332215 	 Lat: 41.368983  | Long: 2.140998  | Distance: 4130.311809 
 
Node ID: 760332203 	 Lat: 41.368574  | Long: 2.140457  | Distance: 4194.377472 
 
Node ID: 760332148 	 Lat: 41.367924  | Long: 2.139595  | Distance: 4296.389033 
 
Node ID: 1121909773 	 Lat: 41.367749  | Long: 2.139364  | Distance: 4323.758018 
 
Node ID: 30307945 	 Lat: 41.367673  | Long: 2.139451  | Distance: 4334.951700 
 
Node ID: 1477573164 	 Lat: 41.367606  | Long: 2.139549  | Distance: 4346.018503 
 
Node ID: 463272130 	 Lat: 41.367532  | Long: 2.139441  | Distance: 4358.176210 
 
Node ID: 463272134 	 Lat: 41.361526  | Long: 2.130989  | Distance: 5329.538414 
 
Node ID: 951428771 	 Lat: 41.361109  | Long: 2.130387  | Distance: 5397.976746 
 
Node ID: 463272136 	 Lat: 41.357140  | Long: 2.124662  | Distance: 6048.320141 
 
Node ID: 463272139 	 Lat: 41.354760  | Long: 2.116903  | Distance: 6747.951562 
 
Node ID: 1500119405 	 Lat: 41.354673  | Long: 2.115791  | Distance: 6841.237198 
 
Node ID: 1118408118 	 Lat: 41.354676  | Long: 2.115715  | Distance: 6847.563850 
 
